ad,0,1
ad_group_1,0.00087984496124031658,up
ad_group_10,0.0007581385394620976,up
ad_group_11,-0.0011596194503171043,down
ad_group_12,-0.00030443974630019324,down
ad_group_13,-0.00095137420718813172,down
ad_group_14,-0.00015711126435689917,down
ad_group_15,-7.1176885130366094e-05,down
ad_group_16,-0.00039711064129668275,down
ad_group_17,-0.00010253699788583342,down
ad_group_18,0.0029733893557422992,up
ad_group_19,-2.1846370683578163e-05,down
ad_group_2,0.00011909795630726436,up
ad_group_20,0.00072570850202431333,up
ad_group_21,-0.00055214940098660995,down
ad_group_22,-3.8759689922470695e-05,down
ad_group_23,0.00073326286116984934,up
ad_group_24,-0.00053222996515674636,down
ad_group_25,0.0010627202255109242,up
ad_group_26,0.0010542635658914881,up
ad_group_27,-0.00038900634249471061,down
ad_group_28,-0.0035912614517265491,down
ad_group_29,-2.4665257223398524e-05,down
ad_group_3,0.0031511627906976726,up
ad_group_30,-0.0011871035940803141,down
ad_group_31,0.00011134601832276407,up
ad_group_32,0.0028319238900634293,up
ad_group_33,-0.0014570119802677901,down
ad_group_34,0.00088548273431994593,up
ad_group_35,-0.00037350246652571341,down
ad_group_36,-0.0013350951374207121,down
ad_group_37,0.0023957011980268142,up
ad_group_38,-0.0018653981677237462,down
ad_group_39,0.0013284002818886513,up
ad_group_4,-0.001157505285412246,down
ad_group_40,0.0023453136011275608,up
ad_group_5,0.00039323467230444341,up
ad_group_6,-0.00090627202255106525,down
ad_group_7,-0.0042089499647639111,down
ad_group_8,-0.0014147286821705144,down
ad_group_9,0.00014658210007047242,up
